               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.030733,            0.026221,           0.0048039,             0.87569,             0.67485,             0.81732,              0.5856,            0.031191,            0.010915,            0.017656,           0.0086635,           0.0086635,           0.0086635
                  56,            0.031004,            0.025683,           0.0050024,              0.8589,             0.67771,             0.79159,             0.57289,            0.033898,            0.010826,            0.022776,           0.0086388,           0.0086388,           0.0086388
                  57,            0.030702,            0.025831,           0.0052872,             0.89619,             0.74645,             0.83551,             0.61627,            0.033167,            0.010368,            0.018061,            0.008614,            0.008614,            0.008614
                  58,            0.029968,            0.025547,           0.0048973,             0.85998,             0.77264,             0.85204,             0.59705,            0.032891,            0.010178,            0.018435,           0.0085893,           0.0085893,           0.0085893
                  59,            0.030765,            0.028085,           0.0044721,              0.8587,             0.71286,              0.7984,              0.6039,            0.032459,            0.010599,            0.024183,           0.0085645,           0.0085645,           0.0085645
                  60,            0.030901,            0.026523,           0.0041332,              0.8649,             0.66818,             0.78112,             0.57229,            0.035813,            0.011656,            0.019722,           0.0085398,           0.0085398,           0.0085398
                  61,            0.030213,            0.026923,           0.0058012,             0.89429,             0.68372,             0.78201,             0.56103,             0.03409,            0.011896,            0.025751,            0.008515,            0.008515,            0.008515
                  62,            0.029161,            0.025649,           0.0050299,             0.87352,             0.66428,             0.74524,             0.53038,            0.033691,            0.012536,             0.02545,           0.0084903,           0.0084903,           0.0084903
                  63,            0.029205,            0.024589,           0.0048879,             0.72603,             0.70832,             0.73774,             0.54851,            0.033311,            0.011715,            0.025871,           0.0084655,           0.0084655,           0.0084655
                  64,            0.029483,            0.026377,            0.005623,             0.78335,             0.69144,             0.76693,             0.56206,            0.032927,            0.011133,            0.028327,           0.0084408,           0.0084408,           0.0084408
                  65,            0.029684,            0.025975,           0.0045873,             0.76101,             0.72481,             0.76305,             0.58734,            0.030835,            0.010809,            0.030415,            0.008416,            0.008416,            0.008416
                  66,             0.02964,            0.024555,           0.0043697,             0.76744,             0.75946,             0.78807,             0.57158,            0.031212,            0.011221,            0.029348,           0.0083913,           0.0083913,           0.0083913
                  67,            0.029601,            0.025088,           0.0044419,             0.87397,             0.68198,             0.80704,              0.5884,             0.03199,            0.011641,            0.022299,           0.0083665,           0.0083665,           0.0083665
                  68,            0.028894,            0.023931,            0.004683,             0.90409,             0.66704,             0.77918,             0.57419,            0.033037,            0.011684,            0.025503,           0.0083418,           0.0083418,           0.0083418
                  69,            0.030125,            0.025388,           0.0045138,             0.88408,             0.62498,             0.76113,             0.54464,            0.033543,            0.012582,            0.029654,            0.008317,            0.008317,            0.008317
                  70,             0.02775,            0.022215,           0.0046587,             0.83779,             0.69669,             0.78176,             0.55539,            0.032682,            0.012159,            0.030297,           0.0082922,           0.0082922,           0.0082922
                  71,             0.02962,            0.025055,           0.0041483,             0.85523,             0.71792,             0.79031,             0.58945,            0.031589,            0.011651,            0.024881,           0.0082675,           0.0082675,           0.0082675
                  72,            0.029065,            0.024961,           0.0045961,             0.80514,             0.71585,             0.79186,             0.57736,            0.032906,            0.011132,            0.024957,           0.0082428,           0.0082428,           0.0082428
                  73,            0.027479,            0.023929,           0.0043563,             0.77589,             0.79723,             0.80548,             0.59523,            0.031956,            0.011262,             0.01955,            0.008218,            0.008218,            0.008218
                  74,            0.028966,            0.026694,           0.0039188,             0.85745,             0.65343,             0.75289,             0.55721,            0.031653,            0.011778,            0.026982,           0.0081932,           0.0081932,           0.0081932
                  75,            0.027779,            0.024538,           0.0048422,             0.79001,             0.68814,             0.73998,             0.54113,            0.032683,            0.012222,            0.028655,           0.0081685,           0.0081685,           0.0081685
                  76,            0.029033,            0.024551,           0.0048688,             0.78213,             0.63998,             0.72482,             0.52826,            0.032826,            0.012079,            0.028498,           0.0081437,           0.0081437,           0.0081437
                  77,            0.028503,            0.023567,            0.005125,             0.79109,             0.68492,             0.75991,             0.55558,            0.034211,             0.01168,            0.028509,            0.008119,            0.008119,            0.008119
                  78,            0.027892,            0.023102,           0.0038903,             0.75446,             0.68838,             0.76542,             0.55939,            0.034923,            0.011904,            0.023207,           0.0080942,           0.0080942,           0.0080942
                  79,            0.028358,            0.023965,           0.0041067,             0.81184,             0.71132,             0.76912,             0.55794,            0.035313,            0.012003,            0.023487,           0.0080695,           0.0080695,           0.0080695
                  80,            0.027321,            0.024655,           0.0040191,             0.77529,             0.74115,             0.78128,             0.57987,            0.032938,            0.012238,            0.024231,           0.0080447,           0.0080447,           0.0080447
                  81,            0.026746,            0.023746,           0.0048909,             0.82244,             0.74198,             0.77475,             0.56783,             0.03266,            0.011699,             0.02485,             0.00802,             0.00802,             0.00802
                  82,            0.028417,            0.024921,           0.0047464,             0.84047,             0.69205,             0.78454,             0.57566,            0.033527,             0.01145,            0.022986,           0.0079953,           0.0079953,           0.0079953
                  83,            0.027376,            0.024494,           0.0040646,             0.88564,             0.66515,             0.80711,             0.58987,            0.033261,            0.011695,            0.024103,           0.0079705,           0.0079705,           0.0079705
                  84,            0.027589,            0.023822,            0.004779,             0.85094,             0.68416,             0.80153,             0.57834,            0.034853,             0.01257,            0.016267,           0.0079457,           0.0079457,           0.0079457
                  85,            0.028027,            0.025008,           0.0037902,             0.79787,             0.71552,             0.74116,             0.57293,            0.031968,            0.011138,            0.018949,            0.007921,            0.007921,            0.007921
                  86,            0.027602,            0.025122,            0.004218,             0.89371,             0.70755,             0.79383,             0.59297,            0.031251,            0.011258,            0.014966,           0.0078963,           0.0078963,           0.0078963
                  87,            0.027996,            0.023972,           0.0039357,              0.9009,             0.69396,             0.81453,             0.61348,            0.029737,            0.010633,            0.023537,           0.0078715,           0.0078715,           0.0078715
                  88,            0.027746,            0.023828,           0.0040756,             0.86252,             0.69505,             0.80083,             0.58594,            0.032416,            0.011199,            0.026092,           0.0078467,           0.0078467,           0.0078467
